Process	CPU	Private Bytes	Working Set	PID	Description	Company Name
Registry		11.904 K	43.512 K	92		
System Idle Process	83.36	60 K	8 K	0		
System	0.67	196 K	24 K	4		
 Interrupts	0.67	0 K	0 K	n/a	Hardware Interrupts and DPCs	
 smss.exe		1.084 K	468 K	392		
 Memory Compression		1.464 K	533.336 K	1632		
csrss.exe		2.096 K	3.740 K	644		
wininit.exe		1.604 K	3.184 K	760		
 services.exe		5.984 K	7.132 K	880		
  svchost.exe	< 0.01	16.816 K	25.972 K	1004	Processo de Host para Serviços do Windows	Microsoft Corporation
   dllhost.exe		3.496 K	4.260 K	4768		
   WmiPrvSE.exe		7.624 K	10.368 K	10040		
   igfxext.exe		4.448 K	7.816 K	1316		
   StartMenuExperienceHost.exe		25.676 K	62.988 K	4336		
   TextInputHost.exe	< 0.01	14.720 K	37.240 K	9384		Microsoft Corporation
   MoUsoCoreWorker.exe		14.924 K	17.724 K	12052		
   RuntimeBroker.exe		5.828 K	21.188 K	2764	Runtime Broker	Microsoft Corporation
   SettingSyncHost.exe		10.616 K	7.364 K	10728	Host Process for Setting Synchronization	Microsoft Corporation
   SearchApp.exe	Suspended	116.336 K	83.256 K	9884	Search application	Microsoft Corporation
   RuntimeBroker.exe	< 0.01	19.448 K	47.996 K	8344	Runtime Broker	Microsoft Corporation
   ShellExperienceHost.exe	Suspended	22.228 K	45.672 K	7052	Windows Shell Experience Host	Microsoft Corporation
   YourPhone.exe	Suspended	32.376 K	35.472 K	548	 	Microsoft Corporation
   RuntimeBroker.exe		3.180 K	18.000 K	11356	Runtime Broker	Microsoft Corporation
   dllhost.exe		3.572 K	11.216 K	8468	COM Surrogate	Microsoft Corporation
   RuntimeBroker.exe		5.152 K	19.536 K	4472	Runtime Broker	Microsoft Corporation
   UserOOBEBroker.exe		2.056 K	8.488 K	5884	User OOBE Broker	Microsoft Corporation
   RuntimeBroker.exe		6.396 K	23.044 K	7912	Runtime Broker	Microsoft Corporation
   SearchApp.exe	Suspended	264.080 K	71.524 K	9484	Search application	Microsoft Corporation
   SystemSettings.exe	Suspended	26.480 K	2.700 K	2616	Configurações	Microsoft Corporation
